Publication Years	records	% of 4590
2019	192	4.183
2018	407	8.867
2017	407	8.867
2016	414	9.020
2015	325	7.081
2014	360	7.843
2013	184	4.009
2012	246	5.359
2011	165	3.595
2010	241	5.251
2009	192	4.183
2008	224	4.880
2007	143	3.115
2006	174	3.791
2005	114	2.484
2004	90	1.961
2003	106	2.309
2002	93	2.026
2001	33	0.719
2000	73	1.590
1999	28	0.610
1998	41	0.893
1997	28	0.610
1996	27	0.588
1995	18	0.392
1994	25	0.545
1993	22	0.479
1992	37	0.806
1991	27	0.588
1990	22	0.479
1989	18	0.392
1988	5	0.109
1987	8	0.174
1986	6	0.131
1985	3	0.065
1984	13	0.283
1983	3	0.065
1982	1	0.022
1981	7	0.153
1980	6	0.131
1978	3	0.065
1977	2	0.044
1976	1	0.022
1974	1	0.022
1971	1	0.022
1970	2	0.044
1969	1	0.022
1968	7	0.153
1967	4	0.087
1966	2	0.044
1965	5	0.109
1964	3	0.065
1963	3	0.065
1962	5	0.109
1961	4	0.087
1960	3	0.065
1959	6	0.131
1958	3	0.065
1957	2	0.044
1956	4	0.087
